example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,universal_difficulty_rank
898,/home/projects/bagon/shared/imagenet512/val/n01744401/ILSVRC2012_val_00004499.JPEG,549,116.27142333984375,0.0009918212890625,0.1302229713837722,44358
61,/home/projects/bagon/shared/imagenet512/val/n02105056/ILSVRC2012_val_00032013.JPEG,726,208.32741260528564,0.000995635986328125,0.10939338444032212,33536
62,/home/projects/bagon/shared/imagenet512/val/n01818515/ILSVRC2012_val_00021663.JPEG,175,7.635560989379883,0.0009889602661132812,0.06345592818235925,33604
899,/home/projects/bagon/shared/imagenet512/val/n02113712/ILSVRC2012_val_00002460.JPEG,534,81.5329761505127,0.0009937286376953125,0.1327824783262573,44364
63,/home/projects/bagon/shared/imagenet512/val/n03908714/ILSVRC2012_val_00048214.JPEG,113,23.018091201782227,0.0009822845458984375,0.045644008871700864,33813
900,/home/projects/bagon/shared/imagenet512/val/n04081281/ILSVRC2012_val_00043267.JPEG,396,107.83138370513916,0.00099945068359375,0.12494761091643125,44377
64,/home/projects/bagon/shared/imagenet512/val/n02749479/ILSVRC2012_val_00014056.JPEG,497,23.34502124786377,0.000995635986328125,0.11470933010716264,33873
901,/home/projects/bagon/shared/imagenet512/val/n04409515/ILSVRC2012_val_00029009.JPEG,419,5.146353721618652,0.0009965896606445312,0.07589325548240364,44379
65,/home/projects/bagon/shared/imagenet512/val/n02423022/ILSVRC2012_val_00031339.JPEG,315,25.04070281982422,0.0009984970092773438,0.08653375696156643,33903
902,/home/projects/bagon/shared/imagenet512/val/n03372029/ILSVRC2012_val_00029188.JPEG,412,196.4333381652832,0.00099945068359375,0.10982700135287786,44383
66,/home/projects/bagon/shared/imagenet512/val/n04486054/ILSVRC2012_val_00025313.JPEG,530,34.45491123199463,0.0009975433349609375,0.10639843890056548,33930
67,/home/projects/bagon/shared/imagenet512/val/n02259212/ILSVRC2012_val_00024868.JPEG,294,23.213637351989746,0.000995635986328125,0.08798513695356092,33959
903,/home/projects/bagon/shared/imagenet512/val/n04552348/ILSVRC2012_val_00031559.JPEG,577,38.48884201049805,0.0009965896606445312,0.12847588379128055,44385
904,/home/projects/bagon/shared/imagenet512/val/n02077923/ILSVRC2012_val_00041773.JPEG,256,108.87639617919922,0.0009946823120117188,0.08691557184359619,44400
68,/home/projects/bagon/shared/imagenet512/val/n04141076/ILSVRC2012_val_00030435.JPEG,703,836.9832639694214,0.0009946823120117188,0.12570698653289877,33998
905,/home/projects/bagon/shared/imagenet512/val/n04447861/ILSVRC2012_val_00029071.JPEG,626,170.34552097320557,0.0009965896606445312,0.09967194832409515,44404
69,/home/projects/bagon/shared/imagenet512/val/n04086273/ILSVRC2012_val_00045053.JPEG,292,22.780899047851562,0.0009984970092773438,0.06757455636548274,34124
70,/home/projects/bagon/shared/imagenet512/val/n03271574/ILSVRC2012_val_00004415.JPEG,259,46.556424140930176,0.0009965896606445312,0.0754368098282682,34132
906,/home/projects/bagon/shared/imagenet512/val/n04355933/ILSVRC2012_val_00021396.JPEG,774,46.31766414642334,0.0009946823120117188,0.1378782146687479,44413
71,/home/projects/bagon/shared/imagenet512/val/n03483316/ILSVRC2012_val_00021449.JPEG,429,173.1468391418457,0.0009927749633789062,0.08819464472936123,34173
907,/home/projects/bagon/shared/imagenet512/val/n04039381/ILSVRC2012_val_00037315.JPEG,232,131.1871919631958,0.00099945068359375,0.0880838317214891,44426
72,/home/projects/bagon/shared/imagenet512/val/n03388549/ILSVRC2012_val_00012333.JPEG,329,10.103355407714844,0.0009937286376953125,0.10359330004145834,34206
908,/home/projects/bagon/shared/imagenet512/val/n01728572/ILSVRC2012_val_00033391.JPEG,479,61.5078125,0.0009965896606445312,0.1082385290871343,44442
73,/home/projects/bagon/shared/imagenet512/val/n02091635/ILSVRC2012_val_00010062.JPEG,407,58.04212284088135,0.00099945068359375,0.09805026497684448,34267
909,/home/projects/bagon/shared/imagenet512/val/n02114367/ILSVRC2012_val_00014734.JPEG,351,20.98679256439209,0.0009965896606445312,0.10274295707531524,44448
74,/home/projects/bagon/shared/imagenet512/val/n02906734/ILSVRC2012_val_00033688.JPEG,300,178.5167350769043,0.0009975433349609375,0.09825216755768731,34296
75,/home/projects/bagon/shared/imagenet512/val/n02948072/ILSVRC2012_val_00021186.JPEG,293,107.50070381164551,0.0009813308715820312,0.05765683623416303,34342
76,/home/projects/bagon/shared/imagenet512/val/n02786058/ILSVRC2012_val_00038219.JPEG,159,24.987241744995117,0.00099945068359375,0.042939582959884884,34347
910,/home/projects/bagon/shared/imagenet512/val/n02974003/ILSVRC2012_val_00000085.JPEG,727,461.42090606689453,0.0009899139404296875,0.15317363022189096,44454
